temperature,eDensity,gofnt
1622572.3898705235,11102040816.32653,2.048308322815209e-26
1700639.4329400521,11102040816.32653,1.3182010608474925e-26
1782462.5261258448,11102040816.32653,8.031953930933314e-27
1868222.3847710367,11102040816.32653,4.6182101388406434e-27
1958108.4190003115,11102040816.32653,2.502384614184382e-27
2052319.1520530963,11102040816.32653,1.2770860558255734e-27
2151062.6587440567,11102040816.32653,6.169120451379938e-28
2254557.0250193435,11102040816.32653,2.8468028789362965e-28
2363030.8296234924,11102040816.32653,1.2673048412000299e-28
2476723.6489408244,11102040816.32653,5.503163287118462e-29
2595886.586126396,11102040816.32653,2.3568222857215865e-29
2720782.8256950434,11102040816.32653,1.0033504855326812e-29
2851688.2147934726,11102040816.32653,4.271876071376834e-30
2988891.8724391717,11102040816.32653,1.8277350569466182e-30
3132696.828071686,11102040816.32653,7.877643633069322e-31
3283420.6908266563,11102040816.32653,3.4271830064292784e-31
3441396.3510106686,11102040816.32653,1.5061730139186239e-31
3606972.7153262887,11102040816.32653,6.688177227443896e-32
3780515.4774710797,11102040816.32653,3.00078246451885e-32
3962407.92581251,11102040816.32653,1.3598997127661889e-32
4153051.789922715,11102040816.32653,6.221952341600102e-33
4352868.127842631,11102040816.32653,2.8713833230923773e-33
4562298.256035178,11102040816.32653,1.3351436119482915e-33
4781804.724081485,11102040816.32653,6.2480788379731994e-34
5011872.336272725,11102040816.32653,2.939243022455155e-34
501187.2336272725,13122448979.591837,2.363047079626796e-27
525300.922235397,13122448979.591837,3.836768218587192e-27
550574.7959784886,13122448979.591837,6.027123348922859e-27
577064.6749995912,13122448979.591837,9.17314971136772e-27
604829.0651237764,13122448979.591837,1.3542073306647038e-26
633929.2870747296,13122448979.591837,1.9408875209950803e-26
664429.61190834,13122448979.591837,2.7026042599560904e-26
696397.4029624328,13122448979.591837,3.657223914472999e-26
729903.2646361388,13122448979.591837,4.8102717018537403e-26
765021.19832752,13122448979.591837,6.146918915156384e-26
801828.7658738301,13122448979.591837,7.625564735446287e-26
840407.2608554034,13122448979.591837,9.17394140671137e-26
880841.8881415128,13122448979.591837,1.0685817116298575e-25
923221.9520747317,13122448979.591837,1.203058988846756e-25
967641.0537094537,13122448979.591837,1.3068348963354532e-25
1014197.2975401576,13122448979.591837,1.3671608549313492e-25
1062993.5081760285,13122448979.591837,1.375258933421114e-25
1114137.4574404613,13122448979.591837,1.328531001788854e-25
1167742.1023970542,13122448979.591837,1.231075341444241e-25
1223925.834827758,13122448979.591837,1.0935480827043147e-25
1282812.7427142137,13122448979.591837,9.307320504640915e-26
1344532.8842997623,13122448979.591837,7.584869147461147e-26
1409222.5753374626,13122448979.591837,5.912819183327584e-26
1477024.690158485,13122448979.591837,4.404684505231782e-26
1548088.9772258627,13122448979.591837,3.1313791429733125e-26
1622572.3898705235,13122448979.591837,2.1214094643953137e-26
1700639.4329400521,13122448979.591837,1.3659426219255133e-26
1782462.5261258448,13122448979.591837,8.327113263940309e-27
1868222.3847710367,13122448979.591837,4.790383214707726e-27
1958108.4190003115,13122448979.591837,2.597016888148239e-27
2052319.1520530963,13122448979.591837,1.3260681917425004e-27
2151062.6587440567,13122448979.591837,6.409064168151622e-28
2254557.0250193435,13122448979.591837,2.9590675832990444e-28
2363030.8296234924,13122448979.591837,1.3179681296375247e-28
2476723.6489408244,13122448979.591837,5.726147576257748e-29
2595886.586126396,13122448979.591837,2.453596272784284e-29
2720782.8256950434,13122448979.591837,1.0450924332643258e-29
2851688.2147934726,13122448979.591837,4.451905679268944e-30
2988891.8724391717,13122448979.591837,1.9057468263609658e-30
3132696.828071686,13122448979.591837,8.218115414748756e-31
3283420.6908266563,13122448979.591837,3.5771434829703728e-31
3441396.3510106686,13122448979.591837,1.572882394155429e-31
3606972.7153262887,13122448979.591837,6.987963369409075e-32
3780515.4774710797,13122448979.591837,3.1368802303156785e-32
3962407.92581251,13122448979.591837,1.4222960475614858e-32
4153051.789922715,13122448979.591837,6.510714237662505e-33
4352868.127842631,13122448979.591837,3.0061532935182864e-33
4562298.256035178,13122448979.591837,1.3985085517679228e-33
4781804.724081485,13122448979.591837,6.54787055155519e-34
5011872.336272725,13122448979.591837,3.0818025990733205e-34
501187.2336272725,15142857142.857143,2.403717513298826e-27
525300.922235397,15142857142.857143,3.9042426754622074e-27
550574.7959784886,15142857142.857143,6.135382498389172e-27
577064.6749995912,15142857142.857143,9.34136837266264e-27
604829.0651237764,15142857142.857143,1.3795510383705204e-26
633929.2870747296,15142857142.857143,1.9779428619329544e-26
664429.61190834,15142857142.857143,2.7552232742549404e-26
696397.4029624328,15142857142.857143,3.729813478934094e-26
729903.2646361388,15142857142.857143,4.9075722668079147e-26
765021.19832752,15142857142.857143,6.273595114765915e-26
801828.7658738301,15142857142.857143,7.785622841101085e-26
840407.2608554034,15142857142.857143,9.37001241112119e-26
880841.8881415128,15142857142.857143,1.0918308798537493e-25
923221.9520747317,15142857142.857143,1.2296984743324226e-25
967641.0537094537,15142857142.857143,1.3362792332943496e-25
1014197.2975401576,15142857142.857143,1.3984974075534202e-25
1062993.5081760285,15142857142.857143,1.4073201700309162e-25
1114137.4574404613,15142857142.857143,1.360026641103767e-25
1167742.1023970542,15142857142.857143,1.2607488986594184e-25
1223925.834827758,15142857142.857143,1.1203432462943593e-25
1282812.7427142137,15142857142.857143,9.539117360061253e-26
1344532.8842997623,15142857142.857143,7.776837266271224e-26
1409222.5753374626,15142857142.857143,6.064877490280121e-26
1477024.690158485,15142857142.857143,4.5197654691969446e-26
1548088.9772258627,15142857142.857143,3.2144862065673996e-26
1622572.3898705235,15142857142.857143,2.17859450460715e-26
1700639.4329400521,15142857142.857143,1.4033355444012527e-26
1782462.5261258448,15142857142.857143,8.55858338918918e-27
1868222.3847710367,15142857142.857143,4.925577924112838e-27
1958108.4190003115,15142857142.857143,2.671421425318992e-27
2052319.1520530963,15142857142.857143,1.3646313341070551e-27
2151062.6587440567,15142857142.857143,6.59822291196799e-28
2254557.0250193435,15142857142.857143,3.0476911271276436e-28
2363030.8296234924,15142857142.857143,1.3580172826558105e-28
2476723.6489408244,15142857142.857143,5.902658825614471e-29
2595886.586126396,15142857142.857143,2.5303073201999753e-29
2720782.8256950434,15142857142.857143,1.0782265299396447e-29
2851688.2147934726,15142857142.857143,4.595009290668158e-30
2988891.8724391717,15142857142.857143,1.9678439229170326e-30
3132696.828071686,15142857142.857143,8.489506984957234e-31
3283420.6908266563,15142857142.857143,3.6968437269285897e-31
3441396.3510106686,15142857142.857143,1.6262044041815575e-31
3606972.7153262887,15142857142.857143,7.227918740007812e-32
3780515.4774710797,15142857142.857143,3.2459656698107735e-32
3962407.92581251,15142857142.857143,1.472376585334722e-32
4153051.789922715,15142857142.857143,6.742795943125661e-33
4352868.127842631,15142857142.857143,3.11461641426188e-33
4562298.256035178,15142857142.857143,1.4495734679931627e-33
4781804.724081485,15142857142.857143,6.789792052581871e-34
5011872.336272725,15142857142.857143,3.1969963875732266e-34
501187.2336272725,17163265306.12245,2.4358174910499503e-27
525300.922235397,17163265306.12245,3.957522274175977e-27
550574.7959784886,17163265306.12245,6.220904417266259e-27
577064.6749995912,17163265306.12245,9.474314297809983e-27
604829.0651237764,17163265306.12245,1.399589160653862e-26
633929.2870747296,17163265306.12245,2.0072533475861737e-26
664429.61190834,17163265306.12245,2.7968623394510654e-26
696397.4029624328,17163265306.12245,3.787280768817912e-26
729903.2646361388,17163265306.12245,4.9846366748969643e-26
765021.19832752,17163265306.12245,6.373971293236858e-26
801828.7658738301,17163265306.12245,7.912509832055655e-26
840407.2608554034,17163265306.12245,9.525524676359621e-26
880841.8881415128,17163265306.12245,1.1102801810819526e-25
923221.9520747317,17163265306.12245,1.250849438513478e-25
967641.0537094537,17163265306.12245,1.3596702807170753e-25
1014197.2975401576,17163265306.12245,1.4234063539911594e-25
1062993.5081760285,17163265306.12245,1.4328209935923804e-25
1114137.4574404613,17163265306.12245,1.385093990456897e-25
1167742.1023970542,17163265306.12245,1.2843823117958965e-25
1223925.834827758,17163265306.12245,1.1416996090452603e-25
1282812.7427142137,17163265306.12245,9.724005001300945e-26
1344532.8842997623,17163265306.12245,7.930078070727236e-26
1409222.5753374626,17163265306.12245,6.186360594992575e-26
1477024.690158485,17163265306.12245,4.611786033379236e-26
1548088.9772258627,17163265306.12245,3.2809997280175854e-26
1622572.3898705235,17163265306.12245,2.2244044259727983e-26
1700639.4329400521,17163265306.12245,1.433319271933707e-26
1782462.5261258448,17163265306.12245,8.744373947491992e-27
1868222.3847710367,17163265306.12245,5.0342038713895386e-27
1958108.4190003115,17163265306.12245,2.7312667826194065e-27
2052319.1520530963,17163265306.12245,1.3956820641540062e-27
2151062.6587440567,17163265306.12245,6.75069989604858e-28
2254557.0250193435,17163265306.12245,3.119208950107733e-28
2363030.8296234924,17163265306.12245,1.3903731754031283e-28
2476723.6489408244,17163265306.12245,6.045427753353617e-29
2595886.586126396,17163265306.12245,2.592426502541279e-29
2720782.8256950434,17163265306.12245,1.1050894773429261e-29
2851688.2147934726,17163265306.12245,4.711165668042705e-30
2988891.8724391717,17163265306.12245,2.0183077336337425e-30
3132696.828071686,17163265306.12245,8.710319116426353e-31
3283420.6908266563,17163265306.12245,3.7943517318277357e-31
3441396.3510106686,17163265306.12245,1.6696925213176836e-31
3606972.7153262887,17163265306.12245,7.423854213825537e-32
3780515.4774710797,17163265306.12245,3.335145585239127e-32
3962407.92581251,17163265306.12245,1.5133673188947214e-32
4153051.789922715,17163265306.12245,6.932979283572309e-33
4352868.127842631,17163265306.12245,3.203603432948006e-33
4562298.256035178,17163265306.12245,1.4915182647601147e-33
4781804.724081485,17163265306.12245,6.988739597492572e-34
5011872.336272725,17163265306.12245,3.291838108166979e-34
501187.2336272725,19183673469.387756,2.461781228200628e-27
525300.922235397,19183673469.387756,4.0006286265992194e-27
550574.7959784886,19183673469.387756,6.290114511242166e-27
577064.6749995912,19183673469.387756,9.581929479046529e-27
604829.0651237764,19183673469.387756,1.4158131651471423e-26
633929.2870747296,19183673469.387756,2.030990242467899e-26
664429.61190834,19183673469.387756,2.830591107719927e-26
696397.4029624328,19183673469.387756,3.833841428416496e-26
729903.2646361388,19183673469.387756,5.0470896317944716e-26
765021.19832752,19183673469.387756,6.455335618265763e-26
801828.7658738301,19183673469.387756,8.015389545365914e-26
840407.2608554034,19183673469.387756,9.65164736512824e-26
880841.8881415128,19183673469.387756,1.1252471066067802e-25
923221.9520747317,19183673469.387756,1.26801336216783e-25
967641.0537094537,19183673469.387756,1.3786583487029238e-25
1014197.2975401576,19183673469.387756,1.4436339084010504e-25
1062993.5081760285,19183673469.387756,1.4535373056350314e-25
1114137.4574404613,19183673469.387756,1.4054668098906259e-25
1167742.1023970542,19183673469.387756,1.3035985652245735e-25
1223925.834827758,19183673469.387756,1.1590730083651215e-25
1282812.7427142137,19183673469.387756,9.874491241697381e-26
1344532.8842997623,19183673469.387756,8.054877092900897e-26
1409222.5753374626,19183673469.387756,6.285356464959189e-26
1477024.690158485,19183673469.387756,4.6868215862797465e-26
1548088.9772258627,19183673469.387756,3.335273442077546e-26
1622572.3898705235,19183673469.387756,2.261811407184644e-26
1700639.4329400521,19183673469.387756,1.4578216336527607e-26
1782462.5261258448,19183673469.387756,8.896320323714003e-27
1868222.3847710367,19183673469.387756,5.123115635851885e-27
1958108.4190003115,19183673469.387756,2.78029306176008e-27
2052319.1520530963,19183673469.387756,1.4211419356868105e-27
2151062.6587440567,19183673469.387756,6.8758371613608265e-28
2254557.0250193435,19183673469.387756,3.1779586165679674e-28
2363030.8296234924,19183673469.387756,1.4169781458945193e-28
